,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
75,11000077,1,SPD,1901,Geschäftsführer,Deutschland,Bäumer,Rudolf,"['3', '4']","['Landesliste', 'Direktwahl']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,11000078,1,DP,1888,Baumeister,Deutschland,Bahlburg,Wilhelm,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,11000079,1,CDU,1939,"Dipl.-Kaufmann, mittelständiger Unternehmer",Deutschland,Bahner,Dietrich,"['8', '9']","['Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78,11000080,1,SPD,1922,Abgeordneter,Deutschland,Bahr,Egon,"['7', '8', '9', '10', '11']","['Landesliste', 'Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
79,11000081,1,CDU,1923,Angestellter,Deutschland,Baier,Fritz,"['2', '3', '4', '5', '6', '7']","['Landesliste', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,11000082,1,CDU,1917,Elektromeister,Deutschland,Baldauf,Albert,"['3', '4']","['Direktwahl', 'Direktwahl']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,11000083,1,CSU,1902,"Honorarprofessor, Senator e.h., Chemiker",Deutschland,Balke,Siegfried,"['3', '4', '5']","['Direktwahl', 'Direktwahl', 'Landesliste']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,11000084,1,CDU,1914,Einzelhandelskaufmann,Deutschland,Balkenhol,Bernhard,"['3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,11000085,1,SPD,1917,Angestellter,Deutschland,Bals,Hans,"['2', '3', '4', '5', '6']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,11000086,0,SPD,1924,Wissenschaftliche Mitarbeiterin,Deutschland,Balser,Frolinde,['8'],['Landesliste'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,11000087,1,SPD,1930,"Dipl.-Volkswirt, Dozent",Deutschland,Baltes,Andreas,['5'],['Landesliste'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,11000088,1,SPD,1936,Bundesbahnamtmann a. D.,Deutschland,Bamberg,Georg,"['9', '10', '11']","['Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
87,11000089,1,FDP,1934,"Jurist, Bundesminister für Wirtschaft",Deutschland,Bangemann,Martin,"['7', '8', '11']","['Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
88,11000090,1,SPD,1911,Journalist,Deutschland,Banse,Wilhelm,['2'],['Direktwahl'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,11000091,0,SPD,1951,Dipl.-Biologin,Deutschland,Barbe,Angelika,"['11', '12']","['Volkskammer', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
90,11000092,1,SPD,1913,Angestellter,Deutschland,Barche,Hermann,"['5', '6', '7']","['Landesliste', 'Landesliste', 'Direktwahl']",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
