WP-JAHRE,NUMIND,ID,ANFANG,VORNAME,NACHNAME,ALTER,GESCHLECHT,PARTEI_KURZ,BERUF,AUSLAND,MANDATSART,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
1949-1953;01,66,11000377,1949,Gregor,Determann,38,1,Andere,"Tischlergeselle, Bergmann",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,67,11000385,1949,Anton,Diel,51,1,SPD,Angestellter,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,68,11000390,1949,Maria,Dietz,55,0,Union,Hausfrau,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,69,11000392,1949,Hans,Dirscherl,60,1,FDP,"Schuhmachermeister, Kaufmann",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,70,11000395,1949,Clara,Döhring,50,0,SPD,Abteilungsleiterin,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,71,11000404,1949,Anton,Donhauser,36,1,Union,Bauingenieur,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,72,11000408,1949,Fritz,Dorls,39,1,Andere,"Schriftsteller, Journalist",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,73,11000419,1949,August,Dresbach,55,1,Union,Hauptgeschäftsführer i. R.,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,74,11000426,1949,Anton,Eberhard,57,1,FDP,Steuer- und Wirtschaftsberater,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,75,11000434,1949,Heinrich,Eckstein,42,1,Union,"Landwirt, Betriebsleiter",0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,76,11000435,1949,Eduard,Edert,69,1,Andere,Oberschulrat i. R.,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,77,11000438,1949,Hermann,Ehlers,45,1,Union,"Präsident DBT a.D., Dipl.-Ingenieurökonom, Dipl.-Staatswissenschaftler",0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,78,11000444,1949,Hermann,Ehren,55,1,Union,Schriftsteller,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,79,11000450,1949,Willi,Eichler,53,1,SPD,Chefredakteur,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,80,11000451,1949,Josef,Eichner,50,1,Andere,Landwirt,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,81,11000452,1949,Rudolf,Eickhoff,47,1,Andere,"Bäckermeister, Bürgermeister",0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,82,11000460,1949,Hans,Ekstrand,46,1,SPD,"kaufm.Angestellter, Gewerkschaftssekretär",0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,83,11000482,1949,Hermann A.,Eplée,41,1,Union,Dipl.-Kaufmann,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,84,11000486,1949,Ludwig,Erhard,52,1,Union,"Professor, Bundesminister a. D., Bundeskanzler a. D.",0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,85,11000488,1949,Fritz,Erler,36,1,SPD,Landrat a. D.,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,86,11000497,1949,Franz,Etzel,47,1,Union,Rechtsanwalt und Notar,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,87,11000498,1949,Hermann,Etzel,67,1,Andere,Rechtsanwalt und Notar,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,88,11000499,1949,Peter,Etzenbach,60,1,Union,"Bürgermeister i. R., Landrat",0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,89,11000500,1949,August-Martin,Euler,41,1,Andere,Rechtsanwalt und Notar,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,90,11000502,1949,Johannes,Even,46,1,Union,Geschäftsführer und Verbandsvorsitzender der Katholischen Arbeiterbewegung,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,91,11000505,1949,Hans,Ewers,62,1,Andere,Rechtsanwalt und Notar,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
