WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE
2017-;19,11003259,0,Union,1966,Staatsministerin,Deutschland,Widmann-Mauz,Annette,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003264,1,Union,1961,"Dipl.-Volkswirt, Bürgermeister a. D.",Deutschland,Willsch,Klaus-Peter,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003422,0,SPD,1961,"Dipl.-Kauffrau, Dipl.-Soziologin",Deutschland,Arndt-Brauer,Ingrid,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003434,0,SPD,1967,Biotechnologin,Deutschland,Reimann,Carola,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003440,0,SPD,1966,"Historikerin, Parl. Staatssekretärin",Deutschland,Griese,Kerstin,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003450,1,SPD,1968,"Dipl.-Informatiker, Parl. Staatssekretär",Deutschland,Kelber,Ulrich,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003493,0,Bündnis 90/Die Grünen,1968,Dipl.-Volkswirtin,Deutschland,Andreae,Kerstin,"['15', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003496,1,SPD,1974,Diplom-Politologe,Deutschland,Bartol,Sören,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003501,0,Union,1960,"Verwaltungs-Betriebswirtin (VWA), Fachkauffrau für Marketing /Vertrieb (VWA)",Deutschland,Bellmann,Veronika,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003510,1,Union,1972,"Professor, Arzt, Bundesminister",Deutschland,Braun,Helge,"['15', '17', '18', '19']","[0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2017-;19
