WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000217,1,SPD,1890,Geschäftsführer,Deutschland,Böhm,Hans,"['1', '2']","['Direktwahl', 'Landesliste']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,59
1949-1953,11000246,1,SPD,1913,"Journalist, Ehrenvorsitzender der SPD",Deutschland,Brandt,Willy,"['1', '2', '4', '6', '7', '8', '9', '10', '11', '12']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1949-1953,1949,36
1949-1953,11000250,0,CDU,1912,"Hausfrau, Bundesministerin a. D.",Deutschland,Brauksiepe,Aenne,"['1', '2', '3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste']",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,37
1949-1953,11000263,1,CDU,1904,Rechtsanwalt und Notar,Deutschland,Brentano,Heinrich,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000264,1,CDU,1896,Bauer,Deutschland,Brese,Wilhelm,"['1', '2', '3', '4', '5']","['Landesliste', 'Landesliste', 'Landesliste', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,53
1949-1953,11000267,1,SPD,1895,Lehrer,Deutschland,Brill,Hermann Louis,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,54
1949-1953,11000269,0,CDU,1890,Hausfrau,Deutschland,Brökelschen,Else,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,59
1949-1953,11000270,1,CDU,1884,Landrat a. D.,Deutschland,Brönner,Josef,"['1', '2', '3']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,65
1949-1953,11000272,1,SPD,1906,Chefredakteur,Deutschland,Bromme,Paul,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,43
1949-1953,11000273,1,CDU,1901,Kaufmann,Deutschland,Brookmann,Walter,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,48
1949-1953,11000279,1,SPD,1906,Angestellter,Deutschland,Brünen,Eberhard,"['1', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,43
